TransactionAmount,CustomerAge,TransactionDuration,AccountBalance,LoginAttempts,TimeGap,TransactionHour,DBSCAN_Cluster
14.089999999999975,70.0,81.0,5112.21,1.0,824618.9,16.0,0
376.24,68.0,141.0,13758.91,1.0,713725.2666666667,16.0,0
126.28999999999999,19.0,56.0,1122.35,1.0,694910.9333333333,18.0,0
184.5,26.0,25.0,8569.06,1.0,790056.9166666666,16.0,0
13.449999999999989,26.0,198.0,7429.4,1.0,553815.25,17.0,0
92.15,18.0,172.0,781.6800000000003,1.0,836091.5833333334,17.0,0
7.079999999999984,37.0,139.0,13316.71,1.0,903813.35,16.0,0
171.42,67.0,291.0,2796.24,1.0,785662.9333333333,17.0,0
106.23000000000002,51.0,86.0,9095.14,1.0,854831.4666666667,16.0,0
815.96,55.0,120.0,1021.8799999999997,1.0,840479.5833333334,16.0,0
17.78000000000003,52.0,59.0,7599.52,1.0,864920.5833333334,16.0,0
190.02000000000004,21.0,173.0,1528.81,1.0,916717.2,17.0,0
494.52,24.0,111.0,1620.02,1.0,742487.1666666666,17.0,0
781.76,26.0,123.0,189.6899999999996,1.0,503487.85,16.0,0
166.99,18.0,134.0,299.9300000000003,1.0,906676.2,16.0,0
465.45,36.0,129.0,3465.54,1.0,471828.8,16.0,0
555.8,19.0,158.0,1131.2600000000002,1.0,533714.7666666667,16.0,0
492.93,39.0,234.0,5109.97,1.0,468819.61666666664,18.0,0
18.680000000000007,59.0,106.0,7948.37,1.0,895155.1833333333,16.0,0
71.47999999999999,18.0,169.0,6568.59,1.0,740990.5,18.0,0
59.31999999999999,71.0,38.0,5750.89,1.0,885092.4333333333,16.0,0
85.76999999999998,38.0,93.0,9146.19,1.0,648816.7,18.0,0
52.19999999999999,39.0,120.0,8974.93,1.0,743832.7666666667,18.0,0
345.84,22.0,142.0,1402.5,3.0,794261.3,18.0,-1
145.54,21.0,96.0,1930.96,1.0,882203.2166666667,16.0,0
7.490000000000009,65.0,276.0,3634.67,1.0,548056.5166666667,17.0,0
246.93,23.0,158.0,673.3500000000004,5.0,815974.6166666667,16.0,-1
40.31999999999999,37.0,95.0,2686.52,1.0,843329.35,16.0,0
127.44999999999999,44.0,197.0,1772.06,1.0,935512.8333333334,16.0,0
56.170000000000016,27.0,283.0,1351.69,1.0,591312.8,16.0,0
28.310000000000002,59.0,20.0,8334.47,1.0,684859.9166666666,17.0,0
59.120000000000005,29.0,257.0,9823.64,1.0,916782.5666666667,16.0,0
396.45,49.0,168.0,9690.15,3.0,584145.2166666667,16.0,0
877.81,22.0,150.0,399.0,1.0,866324.4333333333,17.0,0
255.26,45.0,50.0,14815.87,1.0,538048.0333333333,16.0,0
124.75999999999999,49.0,45.0,5764.72,1.0,553893.45,16.0,0
78.13,26.0,145.0,900.6099999999997,1.0,502033.56666666665,16.0,0
649.28,75.0,137.0,4875.86,1.0,882137.7166666667,17.0,0
795.31,66.0,90.0,7914.88,2.0,559623.6166666667,17.0,0
335.63,55.0,216.0,1019.3899999999999,1.0,935450.2,17.0,0
328.47,63.0,119.0,4323.66,1.0,664647.6833333333,18.0,0
34.01999999999998,38.0,19.0,14214.48,1.0,957118.4,16.0,0
241.42,57.0,116.0,13357.02,1.0,811511.3333333334,18.0,0
55.31999999999999,19.0,117.0,241.78999999999996,1.0,823204.4333333333,16.0,0
304.31,27.0,33.0,868.6099999999997,1.0,671957.4166666666,16.0,0
435.27,74.0,90.0,4673.28,1.0,571101.7166666667,17.0,0
164.49,26.0,75.0,1509.27,1.0,470408.9166666667,16.0,0
510.24,19.0,105.0,781.6999999999998,1.0,563981.9166666666,16.0,0
626.9,26.0,138.0,265.5100000000002,1.0,493401.45,16.0,0
22.00999999999999,41.0,175.0,1335.0900000000001,1.0,846201.2166666667,16.0,0
425.34,69.0,121.0,3907.54,1.0,906667.4666666667,16.0,0
424.56,51.0,264.0,5183.85,1.0,895103.1166666667,17.0,0
85.43,67.0,145.0,14904.9,1.0,742521.1833333333,16.0,0
169.5,28.0,142.0,918.8800000000001,1.0,610037.5166666667,16.0,0
104.63,62.0,90.0,4477.78,1.0,843263.4333333333,17.0,0
316.95,25.0,83.0,1324.0299999999997,1.0,658935.5833333334,17.0,0
60.53999999999999,57.0,52.0,3534.93,1.0,468857.3333333333,17.0,0
292.56,68.0,61.0,4638.37,1.0,880710.1333333333,17.0,0
386.52,48.0,28.0,5630.61,1.0,739668.9,16.0,0
112.07,23.0,51.0,930.3000000000002,1.0,574056.25,16.0,0
568.52,46.0,152.0,5499.91,1.0,568161.8,18.0,0
263.99,79.0,227.0,4175.02,2.0,774243.55,16.0,0
349.64,48.0,226.0,6651.62,1.0,522199.7666666667,16.0,0
601.4,56.0,104.0,8458.29,1.0,753984.6,17.0,0
5.769999999999982,50.0,124.0,13988.12,1.0,529449.8666666667,16.0,0
201.33,42.0,186.0,2585.07,1.0,843311.1666666666,17.0,0
298.42,56.0,225.0,3014.75,1.0,804478.8,16.0,0
521.06,25.0,128.0,1951.42,1.0,814411.3833333333,18.0,0
117.28,60.0,16.0,3665.77,1.0,912452.3,16.0,0
189.12,32.0,103.0,977.0100000000002,1.0,513566.23333333334,16.0,0
133.55,44.0,220.0,3846.28,1.0,683518.3,16.0,0
143.21,35.0,135.0,6374.82,1.0,951309.1666666666,17.0,0
24.769999999999982,62.0,55.0,5866.01,1.0,703551.7,18.0,0
233.92,26.0,280.0,6537.62,1.0,548114.2833333333,16.0,0
1212.51,20.0,24.0,605.9499999999998,1.0,571170.3666666667,16.0,0
232.12,37.0,51.0,6689.87,1.0,448718.23333333334,17.0,0
162.63,22.0,113.0,634.1700000000001,1.0,735254.5,17.0,0
91.53,44.0,69.0,14676.05,1.0,866379.4,16.0,0
120.29000000000002,19.0,77.0,1362.3900000000003,1.0,463040.38333333336,18.0,0
174.25,50.0,67.0,10528.34,1.0,684795.9666666667,18.0,0
183.71,38.0,102.0,552.5200000000004,1.0,725147.6833333333,18.0,0
345.39,58.0,80.0,6451.96,1.0,543774.3166666667,17.0,0
922.55,63.0,87.0,4715.84,1.0,936938.3166666667,16.0,0
259.91,49.0,170.0,7176.86,1.0,523655.4666666667,16.0,0
154.71,34.0,157.0,1523.7200000000003,1.0,705089.3,16.0,0
1340.19,54.0,30.0,8654.28,1.0,578324.7166666667,17.0,0
24.560000000000002,64.0,69.0,9869.93,1.0,548084.5,17.0,0
568.07,48.0,115.0,10556.81,1.0,624423.65,17.0,0
9.610000000000014,58.0,179.0,12883.91,1.0,720811.6833333333,18.0,0
392.96,24.0,100.0,791.6499999999996,1.0,503500.48333333334,16.0,0
716.93,60.0,34.0,4064.02,1.0,599958.65,16.0,0
223.85,53.0,55.0,2929.91,4.0,574051.85,16.0,1
230.66,21.0,135.0,618.0500000000002,1.0,846114.6666666666,18.0,0
442.12,19.0,260.0,1375.8000000000002,1.0,458851.3,16.0,0
644.17,29.0,72.0,1143.52,1.0,882242.9166666666,16.0,0
508.68,51.0,127.0,7708.41,1.0,715192.7,16.0,0
858.6300000000001,27.0,185.0,1872.96,1.0,814483.4,17.0,0
25.360000000000014,57.0,78.0,201.03999999999996,1.0,684902.6833333333,17.0,0
147.62,71.0,133.0,2115.8,1.0,618641.3333333334,17.0,0
115.01999999999998,37.0,175.0,7643.66,1.0,604309.5666666667,16.0,0
383.37,30.0,24.0,8901.93,1.0,935447.1833333333,17.0,0
98.54000000000002,20.0,167.0,9383.43,1.0,648951.2666666667,16.0,0
83.24000000000001,55.0,164.0,1181.31,1.0,553775.6833333333,18.0,0
196.16,27.0,146.0,9418.86,1.0,890859.15,16.0,0
129.94,32.0,235.0,7954.92,1.0,967170.55,16.0,0
306.9,46.0,51.0,9418.08,1.0,489099.75,16.0,0
114.98000000000002,59.0,80.0,6144.68,1.0,530837.3833333333,16.0,0
756.59,27.0,17.0,420.64999999999964,1.0,876444.6333333333,16.0,0
503.76,22.0,35.0,447.8199999999997,1.0,493296.55,18.0,0
143.03,63.0,147.0,7981.45,1.0,664772.9333333333,16.0,0
1045.22,53.0,73.0,1829.9,1.0,500633.93333333335,16.0,0
245.54,25.0,180.0,985.0599999999995,1.0,854860.9166666666,16.0,0
254.37,51.0,174.0,8849.26,1.0,811540.1,18.0,0
213.76,78.0,282.0,3528.72,1.0,883577.3666666667,17.0,0
327.86,40.0,104.0,480.15999999999985,1.0,910993.7,16.0,0
2.5,47.0,107.0,12145.27,1.0,679166.7,16.0,0
300.08,68.0,47.0,13546.75,1.0,563949.5833333334,17.0,0
56.97999999999999,43.0,122.0,5688.37,2.0,443013.5333333333,16.0,0
407.65,26.0,62.0,8346.64,1.0,699354.8666666667,16.0,0
115.82999999999996,39.0,167.0,6481.04,1.0,765540.1666666666,17.0,0
53.56999999999999,69.0,121.0,1651.33,1.0,641751.5166666667,16.0,0
63.34,46.0,165.0,11174.94,1.0,507848.18333333335,16.0,0
317.87,27.0,91.0,145.5,1.0,765521.95,17.0,0
331.65,41.0,61.0,4172.57,1.0,628724.8833333333,17.0,0
5.0400000000000205,56.0,41.0,5558.36,1.0,493412.23333333334,16.0,0
214.54,70.0,247.0,11151.53,1.0,658945.2,17.0,0
598.81,57.0,158.0,1415.52,1.0,614361.6333333333,16.0,0
841.28,26.0,80.0,1103.6400000000008,1.0,651755.5333333333,17.0,0
38.14999999999998,26.0,108.0,303.6800000000003,1.0,610080.0333333333,16.0,0
1036.66,58.0,144.0,5541.57,1.0,693569.5166666667,16.0,0
124.72,33.0,105.0,6309.8,1.0,705053.3,17.0,0
302.45,78.0,40.000000000000014,5133.61,1.0,584098.3166666667,17.0,0
208.04,47.0,273.0,9344.98,1.0,503458.7166666667,17.0,0
5.769999999999982,23.0,254.0,1117.9700000000003,1.0,507763.76666666666,17.0,0
381.33,56.0,75.0,11835.35,1.0,634523.45,16.0,0
16.160000000000025,50.0,124.0,14401.17,1.0,553872.3833333333,16.0,0
486.08,18.0,68.0,1748.69,1.0,723765.2166666667,17.0,0
336.39,21.0,18.0,1000.46,1.0,946996.3166666667,16.0,0
997.4300000000001,69.0,118.0,6810.05,1.0,500641.1,16.0,0
234.57,23.0,120.0,263.97999999999956,1.0,618719.65,16.0,0
6.0,30.0,246.0,5442.76,1.0,543691.4666666667,18.0,0
1049.92,80.0,20.999999999999986,2037.85,1.0,543800.0166666667,16.0,0
227.14,18.0,294.0,341.9399999999996,1.0,705029.4333333333,17.0,0
233.74,66.0,17.0,1066.5900000000001,1.0,542370.2833333333,16.0,0
113.01999999999998,69.0,166.0,6077.96,1.0,584112.9833333333,16.0,0
45.849999999999994,20.0,92.0,1659.15,1.0,902290.2333333333,17.0,0
973.3900000000001,77.0,296.0,2042.2200000000003,1.0,621528.4,17.0,0
514.95,41.0,142.0,421.9300000000003,5.0,821612.2166666667,18.0,-1
415.5,66.0,141.0,10113.66,1.0,669101.0,16.0,0
265.76,54.0,92.0,4446.17,1.0,916703.3833333333,17.0,0
69.4,80.0,113.0,6452.77,1.0,674760.35,18.0,0
332.93,35.0,293.0,2788.2,1.0,503498.43333333335,16.0,0
267.9,20.0,160.0,596.1599999999999,1.0,563955.7833333333,16.0,0
496.03,61.0,265.0,12904.66,1.0,527963.8166666667,16.0,0
376.26,37.0,245.0,9062.4,1.0,903808.7833333333,16.0,0
83.01999999999998,36.0,171.0,9009.56,1.0,614291.1666666666,17.0,0
93.25999999999999,20.0,72.0,1152.1999999999998,1.0,670549.2,16.0,0
803.37,68.0,129.0,12168.37,1.0,816000.1,16.0,0
35.75999999999999,23.0,122.0,611.8599999999997,1.0,592713.3666666667,17.0,0
28.53000000000003,62.0,99.0,8670.53,1.0,752608.85,16.0,0
139.53,53.0,177.0,10098.86,1.0,563927.3666666667,17.0,0
307.57,33.0,285.0,5307.74,1.0,957114.5333333333,16.0,0
60.650000000000006,56.0,53.0,1047.2799999999993,1.0,759714.2333333333,18.0,0
74.86000000000001,70.0,125.0,6921.48,1.0,644544.3666666667,17.0,0
117.97,51.0,137.0,1475.46,1.0,497597.81666666665,18.0,0
231.91,34.0,165.0,112.76000000000022,1.0,925300.8833333333,18.0,0
126.20999999999998,75.0,268.0,5669.66,1.0,905281.6833333333,16.0,0
506.28,53.0,162.0,1309.9499999999998,2.0,794345.6666666666,17.0,0
304.35,31.0,36.0,4057.1,1.0,483301.18333333335,17.0,0
281.85,22.0,109.0,1585.98,1.0,774161.0166666667,17.0,0
777.88,31.0,17.0,6825.55,1.0,856271.05,16.0,0
119.18,56.0,96.0,5516.5,1.0,628685.9333333333,18.0,0
177.19,76.0,43.0,5343.3,1.0,775601.0333333333,17.0,0
260.88,22.0,36.0,903.0500000000002,1.0,755476.7,16.0,0
169.47,24.0,19.0,1806.1599999999999,1.0,853437.3833333333,16.0,0
73.23000000000002,26.0,14.0,787.7399999999998,1.0,769878.3166666667,16.0,0
1362.55,29.0,106.0,2429.68,1.0,910923.9666666667,18.0,0
792.57,19.0,164.0,770.3699999999999,1.0,765588.05,16.0,0
237.06,71.0,46.0,1182.7700000000004,1.0,463160.55,16.0,0
34.170000000000016,54.0,54.0,726.5500000000002,1.0,502028.76666666666,16.0,0
740.25,41.0,123.0,14464.3,1.0,682024.4833333333,17.0,0
453.54,58.0,82.0,12046.3,1.0,813096.05,16.0,0
300.47,73.0,100.0,7885.64,1.0,513596.13333333336,16.0,0
110.92999999999998,19.0,201.0,1952.35,1.0,830372.6333333333,16.0,0
201.69,59.0,299.0,7328.52,1.0,965723.6666666666,16.0,0
399.21,59.0,109.0,3210.39,1.0,926872.5333333333,16.0,0
1041.88,78.0,57.0,5726.2,1.0,611482.7,16.0,0
630.36,62.0,52.0,1363.65,1.0,882240.3666666667,16.0,0
10.939999999999998,60.0,245.0,1241.9899999999998,1.0,543767.7666666667,17.0,0
215.9,38.0,235.0,7873.28,1.0,964328.2333333333,16.0,0
1422.55,79.0,165.0,5674.32,1.0,694937.5333333333,17.0,0
226.37,49.0,141.0,9840.04,1.0,594182.8,17.0,0
444.89,43.0,101.0,10328.23,1.0,604304.1833333333,16.0,0
280.57,25.0,24.0,293.2399999999998,1.0,931115.3166666667,17.0,0
488.54,52.0,132.0,7486.63,1.0,705019.6166666667,17.0,0
3.3000000000000114,50.0,131.0,11385.37,1.0,846207.9166666666,16.0,0
199.39,69.0,165.0,7264.79,1.0,634552.7333333333,16.0,0
20.360000000000014,62.0,75.0,2762.48,1.0,674828.95,17.0,0
113.63999999999999,62.0,32.0,6675.03,1.0,542338.2333333333,17.0,0
493.11,53.0,236.0,7432.99,1.0,664782.5833333334,16.0,0
307.41,19.0,14.0,1057.0000000000005,1.0,735276.9333333333,17.0,0
11.180000000000007,43.0,161.0,5956.89,1.0,489077.6333333333,16.0,0
313.82,59.0,151.0,7261.59,1.0,510551.06666666665,18.0,0
